,년도,팀명,선수명,선수id,WAR,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA
363,2016,LG,김용의,/player/detail/314,1.41,105,347,308,98,1,62,20,35,64,19,0.399,0.318,0.388,0.412,0.800,0.365
364,2016,두산,허경민,/player/detail/664,1.30,144,609,538,154,7,96,81,49,58,6,0.309,0.286,0.360,0.385,0.745,0.339
365,2016,LG,채은성,/player/detail/348,1.29,128,451,403,126,9,64,81,31,75,7,0.358,0.313,0.365,0.444,0.809,0.357
366,2016,롯데,최준석,/player/detail/654,1.27,116,396,325,85,19,49,70,64,102,0,0.317,0.262,0.384,0.468,0.852,0.374
367,2016,SK,최승준,/player/detail/313,1.24,76,231,199,53,19,31,42,28,66,0,0.296,0.266,0.364,0.578,0.942,0.393
368,2016,삼성,최재원,/player/detail/391,1.22,28,105,81,27,4,20,16,17,17,3,0.371,0.333,0.456,0.519,0.975,0.431
369,2016,NC,조영훈,/player/detail/825,1.17,109,207,179,60,5,29,35,21,43,3,0.410,0.335,0.408,0.497,0.905,0.395
370,2016,삼성,발디리스,/player/detail/1383,1.16,44,190,154,41,8,24,33,31,17,0,0.250,0.266,0.389,0.461,0.850,0.377
371,2016,넥센,박정음,/player/detail/274,1.05,98,263,223,69,4,45,26,30,52,16,0.385,0.309,0.395,0.413,0.808,0.369
372,2016,LG,정성훈,/player/detail/310,1.03,126,418,370,119,6,58,64,33,59,8,0.365,0.322,0.380,0.435,0.815,0.363
373,2016,NC,김준완,/player/detail/419,0.99,122,325,253,66,1,60,12,66,62,2,0.340,0.261,0.416,0.308,0.724,0.357
374,2016,롯데,신본기,/player/detail/754,0.98,25,104,81,25,1,13,10,13,12,0,0.353,0.309,0.451,0.395,0.846,0.401
375,2016,LG,이병규(7),/player/detail/328,0.98,103,350,290,79,7,43,37,47,81,8,0.351,0.272,0.389,0.400,0.789,0.361
376,2016,삼성,백상원,/player/detail/465,0.95,132,517,445,128,3,60,49,51,69,8,0.329,0.288,0.361,0.364,0.725,0.333
377,2016,삼성,조동찬,/player/detail/458,0.95,90,282,247,68,10,32,36,26,64,0,0.330,0.275,0.348,0.449,0.797,0.349
378,2016,한화,이성열,/player/detail/236,0.91,86,219,198,57,10,29,29,11,62,0,0.373,0.288,0.350,0.505,0.855,0.370
379,2016,롯데,아두치*,/player/detail/1306,0.88,64,272,247,72,7,46,41,18,59,15,0.349,0.291,0.336,0.466,0.802,0.344
380,2016,KIA,이홍구,/player/detail/148,0.87,106,273,241,64,9,27,45,19,66,0,0.320,0.266,0.322,0.461,0.783,0.334
381,2016,롯데,맥스웰,/player/detail/1441,0.84,23,99,80,23,4,14,16,15,25,2,0.365,0.288,0.414,0.500,0.914,0.404
382,2016,KIA,노수광,/player/detail/79,0.80,77,238,207,64,4,43,30,20,46,12,0.382,0.309,0.373,0.406,0.779,0.354
